scenario,coupon_target_annual,bond_term_ticks,runs,coupon_shortfall_rate,median_coupon_shortfall_usd,unpaid_claims_rate,liquidity_leakage_rate,household_cash_stress_rate,concentration_rate,median_realized_largest_component_share
mutual_aid_only,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0
mutual_aid_only,0.06,52,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0
mutual_aid_only,0.12,52,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0
regenbond_lp_injection,0.0,52,2,0.0,0.0,0.0,0.5,1.0,0.0,0.992
regenbond_lp_injection,0.06,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
regenbond_lp_injection,0.12,52,2,0.0,0.0,0.0,0.5,1.0,0.0,0.992
sarafu_like_pools,0.0,52,2,0.0,0.0,0.5,1.0,1.0,0.0,0.9879032258064516
sarafu_like_pools,0.06,52,2,0.0,0.0,0.5,1.0,1.0,0.0,0.9879032258064516
sarafu_like_pools,0.12,52,2,0.0,0.0,0.5,1.0,1.0,0.0,0.9798387096774194
stress_cash_stable_leakage,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_cash_stable_leakage,0.06,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_cash_stable_leakage,0.12,52,2,0.5,995.7896810905513,0.0,1.0,1.0,0.0,0.992
stress_governance_diversion,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_governance_diversion,0.06,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_governance_diversion,0.12,52,2,0.5,10310.22739359109,0.0,1.0,1.0,0.0,0.992
stress_high_coupon,0.12,52,6,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.992
stress_liquidity_concentration,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.9918032786885246
stress_liquidity_concentration,0.06,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.9918032786885246
stress_liquidity_concentration,0.12,52,2,0.5,12909.782954539352,0.0,1.0,1.0,0.0,0.9918032786885246
stress_low_fee_conversion,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_low_fee_conversion,0.06,52,2,0.0,0.0,0.0,1.0,0.5,0.0,0.992
stress_low_fee_conversion,0.12,52,2,0.5,872.0969974792679,0.0,0.5,1.0,0.0,0.992
stress_weak_pool_repayment,0.0,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
stress_weak_pool_repayment,0.06,52,2,0.0,0.0,0.0,0.0,1.0,0.0,0.992
stress_weak_pool_repayment,0.12,52,2,0.0,0.0,0.0,1.0,1.0,0.0,0.992
