scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,bond_principal_usd,bond_raw_lp_returned_usd,bond_cumulative_fee_return_usd,bond_net_after_principal_usd,bond_simple_fee_yield,bond_annualized_fee_yield,bond_cagr_fee_yield,bond_coupon_due_usd,bond_coupon_coverage_ratio,bond_coupon_shortfall_usd,bond_principal_shortfall_at_term_usd,bond_payback_ratio,potential_largest_component_share,realized_largest_component_share,realized_edge_top_share,top_impact_activity,top_impact_expected_exposure
mutual_aid_only,1,102,0.0,52,52,120,122,138,14834.911956556518,0.9324324324324325,0.0,0.0,0.0,0.0,0.0,0.0,0.30833333333333335,0.7035342794327141,0.13134266666666666,0.5824386633806253,809.4136805549604,0.25833333333333336,0.15,0.5916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.012441679626749611,Regenerative Agriculture,165.6862180776219
mutual_aid_only,2,103,0.0,52,52,120,122,140,39709.02576669027,0.9210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.25833333333333336,0.7290546465875499,0.12955106666666666,0.5828197186917234,807.5219305702637,0.23333333333333334,0.16666666666666666,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013821024710316907,Regenerative Agriculture,165.8909673888705
mutual_aid_only,1,100102,0.06,52,52,120,122,142,21501.956002196963,0.9659863945578231,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.7236423080811301,0.13274258333333333,0.5958237929945553,725.7132267267357,0.19166666666666668,0.24166666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013793103448275862,Regenerative Agriculture,149.12043432237112
mutual_aid_only,2,100103,0.06,52,52,120,122,157,23793.708463034367,0.8920454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.7368956014145189,0.14068638333333333,0.6037927285730659,773.0601191302302,0.24166666666666667,0.24166666666666667,0.5166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013182439995025495,Regenerative Agriculture,159.79204429870904
mutual_aid_only,1,200102,0.12,52,52,120,122,151,24987.028950449978,0.9041916167664671,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,0.717408984609223,0.12884961666666667,0.5853835355529984,848.8678252719722,0.20833333333333334,0.19166666666666668,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013029315960912053,Regenerative Agriculture,175.5797995415267
mutual_aid_only,2,200103,0.12,52,52,120,122,139,25406.194398409116,0.9391891891891891,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.7586989437827854,0.13990898333333335,0.5942995717501626,797.0727809931125,0.2916666666666667,0.175,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.01410238330277817,Regenerative Agriculture,163.59295230040925
sarafu_like_pools,1,1000102,0.0,52,52,124,126,288,29674.43730336851,0.9437086092715232,14.451759771126369,11.384769810979886,5299.4617601033315,122.8187181539265,122.8187181539265,0.0,0.24193548387096775,0.707534029618583,0.12976187096774194,0.584436560497337,1031.6270525430623,0.22580645161290322,0.1774193548387097,0.5967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013279053988562566,Regenerative Agriculture,217.4910045741574
sarafu_like_pools,2,1000103,0.0,52,52,124,126,239,35660.12435425253,0.9558232931726908,28.74895713161959,2.764803760935376,939.5987587048373,25.448997318617256,25.448997318617256,622.3834288448234,0.3548387096774194,0.7069393587505436,0.12810445161290324,0.5785577853284305,998.6053234202044,0.24193548387096775,0.14516129032258066,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9758064516129032,0.013232323232323233,Regenerative Agriculture,209.9067674698903
sarafu_like_pools,1,1100102,0.06,52,52,124,126,322,52793.720847558434,0.9466666666666667,1703.8817415906608,10.915508821259115,16382.563429632619,563.3097543839775,563.3097543839775,143.757243406472,0.49193548387096775,0.5669844437023729,0.1250893870967742,0.5776412363426368,1042.5840665860292,0.20967741935483872,0.16129032258064516,0.6290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013597033374536464,Regenerative Agriculture,222.53411559022564
sarafu_like_pools,2,1100103,0.06,52,52,124,126,218,29222.488018768905,0.9301310043668122,1.0,0.0,1635.9693709318567,15.5493668099237,15.5493668099237,0.0,0.3467741935483871,0.7488737732552094,0.12953559677419357,0.5852635981945226,900.2348611291887,0.21774193548387097,0.18548387096774194,0.5967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9758064516129032,0.011358855700462769,Regenerative Agriculture,189.46213727839196
