scenario,network_scale,coupon_target_annual,bond_fee_service_share,principal_ratio,producer_stable_debt_contract_service_margin_rate,producer_voucher_debt_contract_service_margin_rate,principal_usd_p50,service_coverage_p05,service_coverage_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,service_cash_headroom_p05,service_cash_headroom_p50,gross_historical_service_cash_headroom_p05,gross_historical_service_cash_headroom_p50,available_service_cash_headroom_p05,available_service_cash_headroom_p50,issuer_lockbox_surplus_usd_p50,issuer_excess_recovered_stable_usd_p50,issuer_operating_surplus_usd_p50,issuer_operating_surplus_headroom_ratio_p50,issuer_fee_waterfall_ops_usd_p50,issuer_sustainability_resources_usd_p50,issuer_sustainability_headroom_ratio_p50,bond_service_lockbox_target_usd_p50,bond_service_lockbox_coverage_ratio_p50,bond_service_lockbox_mode,fee_service_reserved_usd_total_p50,fee_service_stable_reserved_usd_total_p50,fee_service_converted_voucher_reserved_usd_total_p50,issuer_scheduled_debt_service_due_p50,issuer_actual_bondholder_payment_p50,issuer_reserve_balance_p05,issuer_reserve_draw_p95,issuer_unpaid_scheduled_claim_p95,safe,binding_constraint
bond_issuer_frontier,current,0.0,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,53.36656257233451,59.81614597767556,53.36656257233451,59.81614597767556,26.044894389284877,26.906825329697718,227.9493666687497,23393.82833854135,23621.777705210097,25.906825329697718,0.0,23621.777705210097,25.906825329697718,1139.7468333437498,1.25,remaining_schedule,80.28901089428885,48.33171812887302,33.9099503087508,911.7974666749999,911.7974666749999,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,26.841022343112215,30.681114319212213,26.841022343112215,30.681114319212213,13.00433846614621,13.566964164278861,455.8987333374994,22461.153444232445,22917.052177569945,12.566964164278861,0.0,22917.052177569945,12.566964164278861,2279.4936666874996,1.25,remaining_schedule,352.9150508729099,132.69858516863803,213.150623224939,1823.5949333499998,1823.5949333499998,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,10.847045289734092,12.827697300242459,10.847045289734092,12.827697300242459,5.5618777930421075,5.7278960361666655,1139.746833343751,20414.67130905395,21554.4181423977,4.7278960361666655,0.0,21554.4181423977,4.7278960361666655,5698.734166718749,1.25,remaining_schedule,1696.968032687937,514.2329058105586,1189.2144449336188,4558.987333374999,4558.987333374999,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,5.682582444050459,6.730974534159575,5.682582444050459,6.730974534159575,3.0895085709970855,3.1562549014886274,2279.4936666875,17381.183900141314,19660.677566828814,2.1562549014886265,0.0,19660.677566828814,2.1562549014886265,11397.468333437499,1.25,remaining_schedule,4311.480900553765,1217.1865987933038,3074.8042547768646,9117.974666749999,9117.974666749999,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,4.0995967806869125,4.5081649928414045,4.0995967806869125,4.5081649928414045,2.269074763171846,2.303537425416685,3419.24050003125,14409.19133313352,17828.43183316477,1.3035374254166847,0.0,17828.43183316477,1.3035374254166847,17096.202500156247,1.25,remaining_schedule,7066.741460629555,1965.655730896041,5121.378925030901,13676.962000124997,13676.962000124997,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,3.1499557524311417,3.657193006434656,3.1499557524311417,3.657193006434656,1.8605245751571011,1.8950815554200782,4558.987333375,11763.674560615917,16322.661893990917,0.8950815554200782,0.0,16322.661893990917,0.8950815554200782,22794.936666874997,1.25,remaining_schedule,10017.834786517531,2717.2783911016377,7244.0307719136335,18235.949333499997,18235.949333499997,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,2.3145503722251015,2.654299238392498,2.3145503722251015,2.654299238392498,1.4619106196914775,1.4832874723643235,6838.4810000625,6381.327789264126,13219.808789326627,0.4832874723643236,0.0,13219.808789326627,0.4832874723643236,34192.405000312494,1.25,remaining_schedule,15812.840841812305,4340.9210552336535,11446.421003239015,27353.924000249994,27353.924000249994,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.0,1.0,2.0,0.0,0.0,36471.898666999994,1.0,1.0,1.0,1.0,1.9228621845689986,2.136410157455288,1.9228621845689986,2.136410157455288,1.2636395971291006,1.2775437573453226,9117.97466675,1004.573126807033,10122.547793557034,0.27754375734532244,0.0,10122.547793557034,0.27754375734532244,45589.873333749994,1.25,remaining_schedule,21567.962192284867,5913.429725603706,15708.817198538873,36471.898666999994,36471.898666999994,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,47.10619922444589,54.113693092071856,47.10619922444589,54.113693092071856,23.53668485505821,24.180880811337474,253.02379700231256,23208.2341259683,23461.25792297061,23.180880811337474,0.0,23461.25792297061,23.180880811337474,1265.1189850115625,1.25,remaining_schedule,86.93825109202601,50.754505381186306,35.46196680217032,1012.0951880092499,1012.0951880092499,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,24.77033724009915,27.787864357943334,24.77033724009915,27.787864357943334,11.830651078347675,12.293130048429115,506.0475940046251,22353.397565150924,22859.445159155548,11.293130048429113,0.0,22859.445159155548,11.293130048429113,2530.237970023125,1.25,remaining_schedule,430.1636738929503,160.60576321870937,264.980567039165,2024.1903760184998,2024.1903760184998,0.0,0.0,0.0,1,
