path,bytes,sha256
README.md,3968,8d28b5a5a09f188069de9c9b0951799da47dafcbc0b7a8cea58e7edf8814ac5b
bond_issuer_frontier_safety.csv,323173,e73fbbf9960f6ba07dee74fdc65f8a62380fd86f028e1b387811adaee4644e6c
calibration_activity_audit.csv,2841,e3658652c8d83759abe320952a01e2ebf31751a21edd61067ac79faf09617b03
fig_frontier_outcome_grid.png,102923,53944c4cdb4d8d42ecd4f8ad345c6d2137d3b2587ea6f13f90d374cdc21a0946
fig_frontier_outcome_grid.svg,30544,c0aed865605014ae36f3c7b90de70449a2322b7405e8c4a329dc484fff9cc3f1
fig_observed_settlement_motif_shift.png,184293,5a941c47a64446e21c5b8cd3ccdcddb5b21ce965a06b8d533fe8905c9e73c422
fig_observed_settlement_motif_shift.svg,23596,d23ab0b6905820a711eab99602f87b0d5c31b6c00eecd8de40cc6ebc7c1b4a88
fig_scheduled_payment_coverage_boundary.png,97590,953cb7b5dc44363dcbb6095d2088a1cfe07674726e9bbaaab0619428a8aa2280
fig_scheduled_payment_coverage_boundary.svg,15065,255b42423dc73c05ff0584efb3d8aa58ee85b7cd57a8404ec91775c9a9f71989
frontier_publication_analysis_summary.md,2984,6b1547fca1742803bca7b29936fef5fd7e1425cf78b39ef935e81cda4d07de14
frontier_publication_binding_cells.csv,1573,5e9239ecb6381c59996c343fca1377e49cb4dcfe67ba28d78580d1894e0f4da2
frontier_publication_coupon_frontier.csv,1344,26f2dfdf651b5bc053a68a5b2be04224793fd6b90e5b3616741365d816d0d602
frontier_publication_metric_ranges.csv,1145,a7fec008ca58fe6832bce7db083fc766ff62c149881cdd661595a58b6e53ef0a
frontier_publication_outcome_matrix.csv,795,bbcd9e3a46795696e93c0df26523e84ccbab949877c7ae6813cd0383caa85d2c
issuer_cashflow_summary.csv,31140,be52e4ac8b743cce8c788aea6560b0aa8184ea174dbfec559f9b09fc93ee9f6d
issuer_cashflow_table.tex,1356,d9abf3e5503178009cb77a43313c01fd486d29c13b4939723b490b63c7cf1420
issuer_operating_headroom_frontier.csv,797,6b89e18c0809a7f348b07eb7f3f09c2be2235ccf24ee00c223ba38cfa964d63b
network_scaling_summary.csv,1601,f3e99a574852894603770d4057ebcd466d286ab7be29e8e0895a97147780bdde
non_extraction_guardrails_table.tex,2236,30488a20868ee4dfa1829ea3835caa7b492d0967da173cf03633df1f28660487
paper_integration_notes.md,2700,b06ab8a2bbe34a1d856d4dff66b361edfade9f881794005201f4dfd2d293b344
safe_injection_frontier.csv,4651,ee015bd2ffb5ce91a40040fd5fbf1ac8bc4d068c6fc5e51419eeb9f420fca038
safe_injection_frontier_table.tex,525,f9a59b9da16219c6e2e93e8208a4cb1071cc21b659c70ae867470ebb9b47cd21
settlement_capacity_frontier_notes.md,1494,3efedf09e77e00e25cb75be7904b7a4a45d8d3c5389c22edba538ac14100699e
settlement_capacity_frontier_summary.csv,20014,243c3611f36ee4971a517fa8dd435e481a0fae99364641edf1df84d71df2f7df
