parameter,value,source
same_token_return_coverage_cash,0.238195,Figure 2 same-token pool return balance
same_token_return_coverage_redeemable_voucher,0.882034,Figure 2 same-token pool return balance
same_token_return_coverage_internal_voucher,0.645039,Figure 2 same-token pool return balance
same_token_return_coverage_strong_cash,0.198796,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_strong_redeemable_voucher,0.630644,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_strong_internal_voucher,0.568703,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_moderate_cash,0.314705,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_moderate_redeemable_voucher,0.928451,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_moderate_internal_voucher,0.715082,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_weak_cash,0.120041,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_weak_redeemable_voucher,0.858628,Figure 2 same-token pool return balance by pool tier
same_token_return_coverage_weak_internal_voucher,0.861204,Figure 2 same-token pool return balance by pool tier
impact_projection_log_slope_regenerative_agriculture,0.882160,Figure 1 report activity projection by tag
impact_projection_share_regenerative_agriculture,0.224934,Figure 1 report activity projection by tag
impact_projection_log_slope_cleaning,0.388098,Figure 1 report activity projection by tag
impact_projection_share_cleaning,0.139692,Figure 1 report activity projection by tag
impact_projection_log_slope_construction,0.606185,Figure 1 report activity projection by tag
impact_projection_share_construction,0.113781,Figure 1 report activity projection by tag
impact_projection_log_slope_training,0.344906,Figure 1 report activity projection by tag
impact_projection_share_training,0.082614,Figure 1 report activity projection by tag
impact_projection_log_slope_housekeeping,0.288179,Figure 1 report activity projection by tag
impact_projection_share_housekeeping,0.075103,Figure 1 report activity projection by tag
impact_projection_log_slope_permaculture,0.361804,Figure 1 report activity projection by tag
impact_projection_share_permaculture,0.043184,Figure 1 report activity projection by tag
impact_projection_log_slope_lending,0.259108,Figure 1 report activity projection by tag
impact_projection_share_lending,0.039054,Figure 1 report activity projection by tag
impact_projection_log_slope_education,0.523240,Figure 1 report activity projection by tag
impact_projection_share_education,0.037927,Figure 1 report activity projection by tag
impact_projection_log_slope_building,0.318116,Figure 1 report activity projection by tag
impact_projection_share_building,0.029290,Figure 1 report activity projection by tag
impact_projection_log_slope_processing,0.361881,Figure 1 report activity projection by tag
impact_projection_share_processing,0.028915,Figure 1 report activity projection by tag
