template_id,tier,score,swap_events,recent_swap_weeks_90d,active_weeks,swaps_per_active_week,total_users,backing_inflow,backing_cash_inflow,backing_voucher_inflow,tagged_voucher_tokens,verified_report_exposure,approved_report_exposure,period_aligned_verified_exposure,same_token_return_rate,same_token_out_value,same_token_matched_later_in_value,borrow_proxy_matured_events,borrow_proxy_matured_return_rate,rosca_proxy_value_return_rate,debt_removal_purchase_events
pool_template_001,strong,506.81,210,13,17,12.35,21,1097.660287,235.341978,862.318309,25,31,83,17,0.451215,1284.832783,579.735782,6,0.000000,0.000000,34
pool_template_002,strong,501.44,205,14,17,12.06,21,845.865826,175.012100,670.853726,20,21,63,13,0.506418,852.385689,431.663855,4,0.250000,0.012619,28
pool_template_003,strong,500.00,281,13,17,16.53,19,817.794784,153.545000,664.249784,21,26,83,15,0.570864,820.920246,468.634176,4,0.250000,0.016320,27
pool_template_004,strong,487.44,170,13,15,11.33,17,523.492009,127.198125,396.293884,21,21,65,0,0.558723,524.278308,292.926539,3,0.000000,0.000000,10
pool_template_005,strong,483.75,154,13,16,9.62,16,1072.574983,109.212500,963.362483,22,34,52,12,0.475953,580.351195,276.219832,1,1.000000,0.282074,21
pool_template_006,strong,481.10,138,12,16,8.62,15,407.659416,30.000000,377.659416,23,17,36,0,0.343274,409.905925,140.709985,1,0.000000,0.000000,2
pool_template_007,strong,472.76,169,13,16,10.56,13,457.307893,41.834812,415.473081,16,25,52,0,0.499416,459.785672,229.624486,5,0.000000,0.000000,5
pool_template_008,strong,470.07,165,13,17,9.71,11,480.147430,61.542500,418.604930,16,21,33,0,0.517190,481.871057,249.219011,6,0.000000,0.000000,7
pool_template_009,strong,467.96,108,13,15,7.20,13,557.744984,7.800000,549.944984,20,9,9,9,0.263740,559.739044,147.625622,3,0.666667,0.312431,2
pool_template_010,strong,466.26,156,12,15,10.40,12,459.018981,84.038265,374.980716,16,19,44,0,0.454014,461.265468,209.421119,3,0.000000,0.000000,6
pool_template_011,strong,463.75,420,10,60,7.00,93,5134.875269,5019.830000,115.045269,26,3,10,2,0.777921,42534.185258,33088.223727,301,0.960133,0.913521,54
pool_template_012,strong,461.88,133,12,15,8.87,14,749.639816,13.005000,736.634816,17,31,42,12,0.450119,437.855283,197.087003,1,0.000000,0.000000,5
