week_index,week_start,iso_week,pool_swap_events,swap_input_value_usd,swap_output_value_usd,swap_avg_side_value_usd,stable_to_voucher_events,voucher_to_stable_events,voucher_to_voucher_events,stable_to_stable_events,other_events,active_swap_pools,active_swap_initiators,active_swap_tokens,mean_input_value_per_swap_usd
0,2024-04-15,2024-W16,24,163.477108,160.743907,162.110507,2,21,1,0,0,2,10,15,6.811546
1,2024-04-22,2024-W17,26,257.26112,252.355043,254.808082,2,24,0,0,0,1,14,20,9.894658
2,2024-04-29,2024-W18,23,187.94389,454.952701,321.448295,1,22,0,0,0,2,3,17,8.171473
3,2024-05-06,2024-W19,45,595.267895,588.40568,591.836788,7,35,3,0,0,3,24,33,13.228175
4,2024-05-13,2024-W20,37,235.037853,233.121668,234.07976,13,22,2,0,0,2,12,21,6.352374
5,2024-05-20,2024-W21,24,89.757618,87.839134,88.798376,0,22,2,0,0,2,13,15,3.739901
6,2024-05-27,2024-W22,5,25.007361,24.515733,24.761547,1,4,0,0,0,1,5,5,5.001472
7,2024-06-03,2024-W23,16,107.893076,106.818939,107.356008,5,11,0,0,0,1,9,14,6.743317
8,2024-06-10,2024-W24,27,213.022177,213.863182,213.44268,12,15,0,0,0,1,5,14,7.88971
9,2024-06-17,2024-W25,8,47.509274,46.905122,47.207198,1,6,1,0,0,2,5,7,5.938659
10,2024-06-24,2024-W26,9,107.321746,105.790775,106.55626,1,8,0,0,0,1,5,6,11.924638
11,2024-07-01,2024-W27,13,162.978711,1111.493237,637.235974,6,5,2,0,0,2,7,10,12.536824
12,2024-07-08,2024-W28,21,274.244842,1171.18726,722.716051,2,16,3,0,0,2,8,19,13.059278
13,2024-07-15,2024-W29,11,53.01158,52.786875,52.899227,2,9,0,0,0,1,3,10,4.819235
14,2024-07-22,2024-W30,14,562.223863,553.883196,558.053529,3,10,0,0,1,3,7,13,40.158847
15,2024-07-29,2024-W31,25,591.790341,585.077317,588.433829,10,14,1,0,0,1,13,18,23.671614
16,2024-08-05,2024-W32,28,270.344441,271.457555,270.900998,9,17,2,0,0,4,13,22,9.655159
17,2024-08-12,2024-W33,30,1288.120581,784.577415,1036.348998,6,19,5,0,0,5,12,20,42.937353
18,2024-08-19,2024-W34,20,18365.229609,493.062854,9429.146232,0,19,1,0,0,3,7,16,918.26148
19,2024-08-26,2024-W35,13,153.061101,10069.010177,5111.035639,0,10,2,0,1,5,7,12,11.773931
20,2024-09-02,2024-W36,22,3090.920571,958.208673,2024.564622,4,18,0,0,0,3,12,20,140.49639
21,2024-09-09,2024-W37,5,366.457822,458.02042,412.239121,2,3,0,0,0,3,5,6,73.291564
22,2024-09-16,2024-W38,31,912.335961,1638.694015,1275.514988,8,23,0,0,0,4,14,20,29.430192
23,2024-09-23,2024-W39,26,9969.016618,9957.698416,9963.357517,9,14,3,0,0,5,12,13,383.423716
24,2024-09-30,2024-W40,12,577.34,82.304931,329.822465,3,4,0,0,5,8,6,9,48.111667
25,2024-10-07,2024-W41,21,17333.750848,14953.94826,16143.849554,7,14,0,0,0,3,10,11,825.416707
26,2024-10-14,2024-W42,10,1041.806658,481.790981,761.798819,2,8,0,0,0,1,6,7,104.180666
27,2024-10-21,2024-W43,6,713.406803,710.780668,712.093736,2,2,0,0,2,4,6,6,118.901134
28,2024-10-28,2024-W44,16,809.78013,811.1007,810.440415,4,10,1,0,1,6,6,9,50.611258
29,2024-11-04,2024-W45,4,8.12,8.368863,8.244431,3,1,0,0,0,4,3,5,2.03
30,2024-11-11,2024-W46,1,10.354613,10.136206,10.245409,0,1,0,0,0,1,1,2,10.354613
31,2024-11-18,2024-W47,13,1413.262321,1399.087092,1406.174706,6,6,1,0,0,2,7,11,108.712486
32,2024-11-25,2024-W48,26,713451.702566,13979.440509,363715.571537,2,22,0,0,2,3,12,23,27440.450099
33,2024-12-02,2024-W49,24,9468.950024,8040.805638,8754.877831,7,16,0,0,1,3,12,17,394.539584
34,2024-12-09,2024-W50,11,1028.119427,1024.898768,1026.509097,2,6,0,0,3,5,8,8,93.465402
35,2024-12-16,2024-W51,3,2952.489485,295126.213341,149039.351413,1,2,0,0,0,3,2,4,984.163162
36,2024-12-23,2024-W52,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
37,2024-12-30,2025-W01,2,300049.0,3049.99,151549.495,0,1,0,0,1,2,2,3,150024.5
38,2025-01-06,2025-W02,26,3261.878946,2489.160014,2875.51948,7,19,0,0,0,2,11,17,125.456883
39,2025-01-13,2025-W03,38,21331.961556,21168.772181,21250.366869,12,24,0,0,2,2,10,16,561.367409
40,2025-01-20,2025-W04,16,1238.755377,1477.613561,1358.184469,3,11,0,0,2,4,9,14,77.422211
41,2025-01-27,2025-W05,34,28984.495303,408070.823832,218527.659567,15,17,0,0,2,4,14,21,852.485156
42,2025-02-03,2025-W06,19,1380.289731,2015.854335,1698.072033,0,16,1,0,2,9,15,22,72.646828
43,2025-02-10,2025-W07,11,408.315044,404.650059,406.482551,1,9,0,0,1,4,7,7,37.119549
44,2025-02-17,2025-W08,19,8274.157752,8803.156564,8538.657158,4,12,0,2,1,7,12,14,435.481987
45,2025-02-24,2025-W09,33,12938.406594,11434.877634,12186.642114,5,22,2,0,4,8,19,23,392.072927
46,2025-03-03,2025-W10,47,105077.574235,37381.997166,71229.7857,3,27,16,0,1,9,17,27,2235.693069
47,2025-03-10,2025-W11,31,14030.621367,8923.74704,11477.184204,2,19,8,0,2,8,21,22,452.600689
48,2025-03-17,2025-W12,17,5204.283209,5238.153748,5221.218478,2,13,0,0,2,9,9,11,306.134306
49,2025-03-24,2025-W13,20,13209.984326,12831.827011,13020.905668,2,16,0,0,2,6,10,13,660.499216
50,2025-03-31,2025-W14,16,11932.496824,88906.064034,50419.280429,2,12,1,0,1,4,11,13,745.781051
51,2025-04-07,2025-W15,36,85132.55041,3866.564825,44499.557618,0,24,11,0,1,5,9,22,2364.793067
52,2025-04-14,2025-W16,15,2296.792501,51425.987708,26861.390105,4,10,0,0,1,6,8,11,153.1195
53,2025-04-21,2025-W17,11,50742.42623,1049.500573,25895.963402,0,7,1,0,3,5,6,10,4612.947839
54,2025-04-28,2025-W18,54,29920.010535,20210.122226,25065.06638,3,45,3,0,3,5,27,31,554.074269
55,2025-05-05,2025-W19,29,87823.2538,87383.410418,87603.332109,3,21,1,0,4,6,12,18,3028.388062
56,2025-05-12,2025-W20,29,3151.643517,2626.662045,2889.152781,2,18,4,0,5,5,9,19,108.677363
57,2025-05-19,2025-W21,18,5991.451576,5994.306185,5992.878881,3,13,0,0,2,6,12,11,332.858421
58,2025-05-26,2025-W22,25,3157.39221,2860.653844,3009.023027,1,21,2,0,1,5,13,15,126.295688
59,2025-06-02,2025-W23,23,20635.866228,20912.557488,20774.211858,0,16,0,0,7,7,14,17,897.211575
60,2025-06-09,2025-W24,62,22483.181455,21789.00395,22136.092702,4,41,0,0,17,8,22,33,362.631959
61,2025-06-16,2025-W25,23,11001.046426,1849.278972,6425.162699,0,18,0,0,5,5,13,20,478.306366
62,2025-06-23,2025-W26,28,1253.709697,967.93722,1110.823458,0,14,10,0,4,8,13,22,44.775346
63,2025-06-30,2025-W27,115,23949.890892,24333.349216,24141.620054,0,70,19,0,26,11,46,51,208.259921
64,2025-07-07,2025-W28,222,10885.323224,10277.445079,10581.384151,7,135,13,2,65,11,69,70,49.032987
65,2025-07-14,2025-W29,73,21711.402259,1969.20569,11840.303975,1,55,7,2,8,8,41,41,297.416469
66,2025-07-21,2025-W30,39,1255.630841,1433.495358,1344.5631,0,29,4,0,6,7,23,22,32.195663
67,2025-07-28,2025-W31,65,222125.308895,22450.877474,122288.093185,2,46,5,0,12,11,33,28,3417.312445
68,2025-08-04,2025-W32,106,24577.854981,38282.682507,31430.268744,4,69,6,0,27,9,38,47,231.866556
69,2025-08-11,2025-W33,87,21160.228038,20102.675363,20631.4517,1,65,2,0,19,7,43,41,243.221012
70,2025-08-18,2025-W34,37,3354.949826,3746.290552,3550.620189,0,29,4,0,4,9,27,27,90.67432
71,2025-08-25,2025-W35,38,25653.735325,24314.511961,24984.123643,2,28,2,0,6,9,21,25,675.098298
72,2025-09-01,2025-W36,48,9494.478577,7363.7828,8429.130689,0,39,6,0,3,9,31,31,197.801637
73,2025-09-08,2025-W37,109,12642.747512,4291.165414,8466.956463,8,66,25,0,10,8,56,61,115.988509
74,2025-09-15,2025-W38,116,11149.452089,11407.643258,11278.547673,0,83,6,1,26,8,63,48,96.115966
75,2025-09-22,2025-W39,47,5231.886704,5449.045079,5340.465891,1,40,1,0,5,10,28,28,111.316738
76,2025-09-29,2025-W40,104,29669.697996,36757.774715,33213.736356,2,40,3,1,58,15,33,71,285.285558
77,2025-10-06,2025-W41,121,10387.26326,10264.251399,10325.75733,2,76,27,0,16,18,58,72,85.845151
78,2025-10-13,2025-W42,86,3868.060919,2868.067467,3368.064193,4,50,12,0,20,14,40,56,44.977453
79,2025-10-20,2025-W43,27,516.540952,535.829494,526.185223,1,20,3,0,3,9,19,22,19.131146
80,2025-10-27,2025-W44,48,12834.78247,20446.693504,16640.737987,3,27,4,0,14,11,28,31,267.391301
81,2025-11-03,2025-W45,132,354484.988371,36417.048211,195451.018291,4,80,3,0,45,14,55,80,2685.492336
82,2025-11-10,2025-W46,101,4864.60247,3691.272443,4277.937457,3,60,9,1,28,14,35,63,48.164381
83,2025-11-17,2025-W47,40,2938.442276,2409.136047,2673.789162,1,25,7,0,7,13,28,37,73.461057
84,2025-11-24,2025-W48,42,94309.620394,14539.924489,54424.772442,5,22,9,2,4,12,24,30,2245.467152
85,2025-12-01,2025-W49,116,9405.679277,7352.464398,8379.071838,2,45,28,4,37,14,29,58,81.083442
86,2025-12-08,2025-W50,77,13020.944943,13018.216294,13019.580619,4,48,13,0,12,12,32,38,169.103181
87,2025-12-15,2025-W51,26,2194.259249,2166.710839,2180.485044,0,23,2,0,1,8,18,16,84.394587
88,2025-12-22,2025-W52,50,108871.751814,11049.91169,59960.831752,0,22,9,0,19,7,15,29,2177.435036
89,2025-12-29,2026-W01,50,5536.840231,5547.292359,5542.066295,0,26,13,0,11,5,15,24,110.736805
90,2026-01-05,2026-W02,143,2259.28337,1729.65877,1994.47107,6,60,58,0,19,8,33,42,15.799184
91,2026-01-12,2026-W03,176,15628.227606,11328.179619,13478.203612,2,41,126,4,3,17,38,117,88.796748
92,2026-01-19,2026-W04,261,1907.794678,1892.500546,1900.147612,3,37,219,1,1,35,51,228,7.309558
93,2026-01-26,2026-W05,405,24284.176062,24052.685588,24168.430825,1,31,364,3,6,49,89,307,59.960929
94,2026-02-02,2026-W06,378,18042.213021,3415.418183,10728.815602,8,107,256,4,3,51,99,303,47.730722
95,2026-02-09,2026-W07,364,10979.96701,9007.074393,9993.520701,14,88,260,0,2,54,107,292,30.164745
96,2026-02-16,2026-W08,523,3871.427808,4594.709448,4233.068628,14,37,464,1,7,61,114,402,7.402348
97,2026-02-23,2026-W09,527,8235.292586,8312.354601,8273.823593,3,23,500,0,1,56,113,377,15.626741
98,2026-03-02,2026-W10,246,43387.003179,71458.049976,57422.526577,17,31,190,0,8,34,54,195,176.369932
99,2026-03-09,2026-W11,474,76028.815476,6036.845187,41032.830332,36,157,278,3,0,59,155,308,160.398345
100,2026-03-16,2026-W12,364,6856.063944,7916.380545,7386.222245,30,58,273,0,3,48,101,296,18.835341
101,2026-03-23,2026-W13,607,1700.04994,1518.464636,1609.257288,21,34,552,0,0,55,125,402,2.800741
102,2026-03-30,2026-W14,382,23583.050358,23260.453727,23421.752043,24,33,319,0,6,48,94,296,61.735734
103,2026-04-06,2026-W15,417,13206.083577,8799.701553,11002.892565,41,88,281,0,7,51,125,291,31.669265
104,2026-04-13,2026-W16,438,15032.818196,14913.892277,14973.355237,34,91,309,0,4,58,139,329,34.321503
105,2026-04-20,2026-W17,295,6783.535712,6778.769271,6781.152492,16,25,250,0,4,48,95,248,22.995036
106,2026-04-27,2026-W18,487,10255.087591,10081.149814,10168.118703,26,45,404,1,11,62,120,347,21.057675
107,2026-05-04,2026-W19,270,12281.012679,11188.835607,11734.924143,17,52,194,0,7,49,87,214,45.485232
108,2026-05-11,2026-W20,163,2479.817783,2481.76822,2480.793001,13,30,118,0,2,32,65,154,15.213606
