week_index,week_start,iso_week,stable_deposit_events_excluding_swap_logs,stable_deposit_value_usd_excluding_swap_logs,stable_pool_deposit_log_events,stable_pool_deposit_log_value_usd,swap_associated_stable_deposit_log_events,swap_associated_stable_deposit_log_value_usd,pools_with_stable_deposits
0,2024-04-15,2024-W16,0,0.0,0,0.0,0,0.0,0
1,2024-04-22,2024-W17,1,10.0,1,10.0,0,0.0,1
2,2024-04-29,2024-W18,3,60.01,3,60.01,0,0.0,2
3,2024-05-06,2024-W19,1,900.0,1,900.0,0,0.0,1
4,2024-05-13,2024-W20,0,0.0,0,0.0,0,0.0,0
5,2024-05-20,2024-W21,1,50.0,1,50.0,0,0.0,1
6,2024-05-27,2024-W22,0,0.0,0,0.0,0,0.0,0
7,2024-06-03,2024-W23,1,0.01,1,0.01,0,0.0,1
8,2024-06-10,2024-W24,0,0.0,0,0.0,0,0.0,0
9,2024-06-17,2024-W25,0,0.0,0,0.0,0,0.0,0
10,2024-06-24,2024-W26,0,0.0,0,0.0,0,0.0,0
11,2024-07-01,2024-W27,0,0.0,0,0.0,0,0.0,0
12,2024-07-08,2024-W28,0,0.0,0,0.0,0,0.0,0
13,2024-07-15,2024-W29,2,1.06,2,1.06,0,0.0,2
14,2024-07-22,2024-W30,1,1188.0,1,1188.0,0,0.0,1
15,2024-07-29,2024-W31,0,0.0,0,0.0,0,0.0,0
16,2024-08-05,2024-W32,5,527.72,5,527.72,0,0.0,3
17,2024-08-12,2024-W33,0,0.0,0,0.0,0,0.0,0
18,2024-08-19,2024-W34,0,0.0,0,0.0,0,0.0,0
19,2024-08-26,2024-W35,5,87.0,5,87.0,0,0.0,3
20,2024-09-02,2024-W36,4,1041.0,4,1041.0,0,0.0,3
21,2024-09-09,2024-W37,0,0.0,0,0.0,0,0.0,0
22,2024-09-16,2024-W38,0,0.0,0,0.0,0,0.0,0
23,2024-09-23,2024-W39,5,627.0,5,627.0,0,0.0,3
24,2024-09-30,2024-W40,1,2.0,1,2.0,0,0.0,1
25,2024-10-07,2024-W41,2,25.05,2,25.05,0,0.0,1
26,2024-10-14,2024-W42,0,0.0,0,0.0,0,0.0,0
27,2024-10-21,2024-W43,0,0.0,0,0.0,0,0.0,0
28,2024-10-28,2024-W44,1,250.0,1,250.0,0,0.0,1
29,2024-11-04,2024-W45,1,500.0,1,500.0,0,0.0,1
30,2024-11-11,2024-W46,1,10000.0,1,10000.0,0,0.0,1
31,2024-11-18,2024-W47,1,48.85,1,48.85,0,0.0,1
32,2024-11-25,2024-W48,5,408.0,5,408.0,0,0.0,1
33,2024-12-02,2024-W49,0,0.0,0,0.0,0,0.0,0
34,2024-12-09,2024-W50,0,0.0,0,0.0,0,0.0,0
35,2024-12-16,2024-W51,3,48.6465,3,48.6465,0,0.0,2
36,2024-12-23,2024-W52,0,0.0,0,0.0,0,0.0,0
37,2024-12-30,2025-W01,12,56.544,12,56.544,0,0.0,1
38,2025-01-06,2025-W02,0,0.0,0,0.0,0,0.0,0
39,2025-01-13,2025-W03,0,0.0,0,0.0,0,0.0,0
40,2025-01-20,2025-W04,0,0.0,0,0.0,0,0.0,0
41,2025-01-27,2025-W05,4,419.6035,4,419.6035,0,0.0,3
42,2025-02-03,2025-W06,5,532.52,5,532.52,0,0.0,2
43,2025-02-10,2025-W07,0,0.0,0,0.0,0,0.0,0
44,2025-02-17,2025-W08,0,0.0,0,0.0,0,0.0,0
45,2025-02-24,2025-W09,4,887.0,4,887.0,0,0.0,3
46,2025-03-03,2025-W10,3,500.0,3,500.0,0,0.0,1
47,2025-03-10,2025-W11,5,621.0,5,621.0,0,0.0,3
48,2025-03-17,2025-W12,0,0.0,0,0.0,0,0.0,0
49,2025-03-24,2025-W13,0,0.0,0,0.0,0,0.0,0
50,2025-03-31,2025-W14,1,501.32,1,501.32,0,0.0,1
51,2025-04-07,2025-W15,0,0.0,0,0.0,0,0.0,0
52,2025-04-14,2025-W16,1,150.0,1,150.0,0,0.0,1
53,2025-04-21,2025-W17,0,0.0,0,0.0,0,0.0,0
54,2025-04-28,2025-W18,0,0.0,0,0.0,0,0.0,0
55,2025-05-05,2025-W19,0,0.0,0,0.0,0,0.0,0
56,2025-05-12,2025-W20,1,3919.0,1,3919.0,0,0.0,1
57,2025-05-19,2025-W21,0,0.0,0,0.0,0,0.0,0
58,2025-05-26,2025-W22,0,0.0,0,0.0,0,0.0,0
59,2025-06-02,2025-W23,1,11000.0,1,11000.0,0,0.0,1
60,2025-06-09,2025-W24,3,260.0,3,260.0,0,0.0,2
61,2025-06-16,2025-W25,0,0.0,0,0.0,0,0.0,0
62,2025-06-23,2025-W26,0,0.0,0,0.0,0,0.0,0
63,2025-06-30,2025-W27,1,20.0,1,20.0,0,0.0,1
64,2025-07-07,2025-W28,2,735.96,2,735.96,0,0.0,1
65,2025-07-14,2025-W29,1,5.0,1,5.0,0,0.0,1
66,2025-07-21,2025-W30,2,108.62,2,108.62,0,0.0,1
67,2025-07-28,2025-W31,1,2.0,1,2.0,0,0.0,1
68,2025-08-04,2025-W32,2,2473.82,2,2473.82,0,0.0,1
69,2025-08-11,2025-W33,0,0.0,0,0.0,0,0.0,0
70,2025-08-18,2025-W34,2,2285.04,2,2285.04,0,0.0,1
71,2025-08-25,2025-W35,1,999.86,1,999.86,0,0.0,1
72,2025-09-01,2025-W36,1,5.0,1,5.0,0,0.0,1
73,2025-09-08,2025-W37,0,0.0,5,19.4777,5,19.4777,1
74,2025-09-15,2025-W38,0,0.0,0,0.0,0,0.0,0
75,2025-09-22,2025-W39,0,0.0,1,1.0,1,1.0,1
76,2025-09-29,2025-W40,0,0.0,1,1200.0,1,1200.0,1
77,2025-10-06,2025-W41,0,0.0,0,0.0,0,0.0,0
78,2025-10-13,2025-W42,0,0.0,0,0.0,0,0.0,0
79,2025-10-20,2025-W43,0,0.0,0,0.0,0,0.0,0
80,2025-10-27,2025-W44,0,0.0,2,50.39,2,50.39,1
81,2025-11-03,2025-W45,0,0.0,0,0.0,0,0.0,0
82,2025-11-10,2025-W46,0,0.0,0,0.0,0,0.0,0
83,2025-11-17,2025-W47,0,0.0,0,0.0,0,0.0,0
84,2025-11-24,2025-W48,0,0.0,3,32.91,3,32.91,2
85,2025-12-01,2025-W49,0,0.0,1,0.03,1,0.03,1
86,2025-12-08,2025-W50,0,0.0,2,3.77,2,3.77,1
87,2025-12-15,2025-W51,0,0.0,0,0.0,0,0.0,0
88,2025-12-22,2025-W52,0,0.0,0,0.0,0,0.0,0
89,2025-12-29,2026-W01,0,0.0,0,0.0,0,0.0,0
90,2026-01-05,2026-W02,0,0.0,6,18.79,6,18.79,2
91,2026-01-12,2026-W03,0,0.0,2,0.230769,2,0.230769,1
92,2026-01-19,2026-W04,0,0.0,4,46.34219,4,46.34219,3
93,2026-01-26,2026-W05,0,0.0,3,0.4,3,0.4,1
94,2026-02-02,2026-W06,0,0.0,9,61.48585,9,61.48585,6
95,2026-02-09,2026-W07,0,0.0,14,62.55625,14,62.55625,4
96,2026-02-16,2026-W08,0,0.0,15,2.353826,15,2.353826,3
97,2026-02-23,2026-W09,0,0.0,2,0.88125,2,0.88125,2
98,2026-03-02,2026-W10,0,0.0,14,92.60375,14,92.60375,5
99,2026-03-09,2026-W11,0,0.0,18,136.144552,18,136.144552,8
100,2026-03-16,2026-W12,0,0.0,28,215.974199,28,215.974199,8
101,2026-03-23,2026-W13,0,0.0,19,102.3875,19,102.3875,8
102,2026-03-30,2026-W14,0,0.0,20,111.377057,20,111.377057,6
103,2026-04-06,2026-W15,0,0.0,40,341.308713,40,341.308713,14
104,2026-04-13,2026-W16,0,0.0,34,432.742216,34,432.742216,14
105,2026-04-20,2026-W17,0,0.0,16,110.256392,16,110.256392,7
106,2026-04-27,2026-W18,0,0.0,27,110.476061,27,110.476061,9
107,2026-05-04,2026-W19,0,0.0,14,148.286777,14,148.286777,6
108,2026-05-11,2026-W20,0,0.0,13,174.126608,13,174.126608,6
