metric,value
weeks,109
active_stable_deposit_weeks_excluding_swap_logs,39
zero_stable_deposit_weeks_excluding_swap_logs,70
stable_deposit_events_excluding_swap_logs,97
stable_deposit_value_usd_excluding_swap_logs,41256.634
stable_pool_deposit_log_value_usd_including_swap_logs,44732.93566
mean_stable_deposit_value_per_pool_era_week,378.501229
mean_stable_deposit_value_per_active_week,1057.86241
weekly_stable_deposit_p50_all_weeks,0.0
weekly_stable_deposit_p75_all_weeks,50.0
weekly_stable_deposit_p90_all_weeks,648.792
weekly_stable_deposit_max,11000.0
active_weekly_stable_deposit_p50,408.0
active_weekly_stable_deposit_p90,2322.796
active_weekly_stable_deposit_max,11000.0
