metric,value,claim_boundary
total_voucher_tokens,996,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
single_pool_tokens,852,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
multi_pool_tokens,144,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
multi_pool_share,0.14457831325301204,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_mean,1.252008032128514,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_p50,1.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_p75,1.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_p90,2.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_p95,3.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
pool_degree_max,26,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
bridge_voucher_pool_degree_p50,2.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
bridge_voucher_pool_degree_p90,3.0,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
shared_pool_pool_edges,514,Counts privacy-safe voucher listing/activity overlap across pools; topology is not proof of participant intent or realized route execution.
